question,document
Czy moja deklaracja jako użytkownik OLX wpłynie na moje ogłoszenia i transakcje?,059738e5
Jakie są różnice między korzystaniem z OLX jako przedsiębiorca a prywatnie?,059738e5
"Czy muszę ponownie deklarować swoje konto na OLX, jeśli zmienię formę działalności?",059738e5
"Czy jako użytkownik muszę jasno określić, czy działam jako przedsiębiorca czy prywatna osoba podczas zawierania transakcji na OLX?",0d8df57a
Co oznacza działanie zgodnie z moją deklaracją odnośnie charakteru podczas korzystania z serwisu OLX?,0d8df57a
Jakie są moje obowiązki jako użytkownika przy zawieraniu transakcji z usługami Płatności OLX i Przesyłki OLX?,0d8df57a
"Czy mogę zawierać transakcje na OLX bez określenia, czy działam jako przedsiębiorca, czy prywatnie?",0d8df57a
"Jaka jest różnica w obowiązkach użytkownika OLX, który działa jako przedsiębiorca, a tym, który działa prywatnie?",0d8df57a
Czy jako użytkownik biznesowy muszę podawać dane kontaktowe na OLX?,5c920aad
Jakie dane muszę przekazać OLX jako użytkownik biznesowy?,5c920aad
Czy moje dane jako użytkownika biznesowego będą publicznie dostępne na OLX?,5c920aad
Czy mogę publikować ogłoszenia na OLX bez podawania danych identyfikacyjnych jako użytkownik biznesowy?,5c920aad
Jakie usługi na OLX wymagają podania danych kontaktowych przez użytkowników biznesowych?,5c920aad
Czy mogę używać OLX do zamieszczania treści o charakterze rasistowskim lub dyskryminującym?,bf80eb5e
Czy wolno mi sprzedawać na OLX przedmioty objęte postępowaniem egzekucyjnym?,bf80eb5e
Czy mogę ingerować w zawartość kont innych użytkowników OLX?,bf80eb5e
"Czy na OLX mogę sprzedawać przedmioty, które są przedmiotem sporu sądowego?",bf80eb5e
"Czy wolno mi podawać nieprawdziwe informacje o przedmiocie, który wystawiam na OLX?",bf80eb5e
Na jakim etapie korzystania z OLX muszę przestrzegać zobowiązań określonych w punkcie 13.1 Regulaminu?,fc0dd85c
"Czy muszę przestrzegać regulaminu OLX, kiedy wysyłam wiadomości do innych użytkowników?",fc0dd85c
Czy jestem zobowiązany do przestrzegania regulaminu podczas publikacji ogłoszeń na OLX?,fc0dd85c
Czy zasady z punktu 13.1 Regulaminu obowiązują mnie we wszystkich funkcjach serwisu OLX?,fc0dd85c
Czy zobowiązania określone w punkcie 13.1 Regulaminu dotyczą każdej funkcjonalności na OLX?,fc0dd85c
Jakie są zasady publikowania treści na OLX?,7bfb63ba
Czy OLX automatycznie weryfikuje wszystkie dodane treści?,7bfb63ba
Jak odbywa się proces przesyłania treści na OLX?,7bfb63ba
Czy mogę ręcznie przesłać treści na OLX?,7bfb63ba
Czy OLX sprawdza każdą treść przed jej publikacją?,7bfb63ba
"Co się stanie, jeśli zmienię treść mojego ogłoszenia po jego publikacji?",7293f181
"Czy OLX sprawdza zmienione ogłoszenia, aby upewnić się, że zgodne są z regulaminem?",7293f181
"Jakie działania może podjąć OLX, jeśli zmienię treść mojego ogłoszenia?",7293f181
Czy OLX może usunąć moje ogłoszenie po jego edycji?,7293f181
"Jak OLX reaguje na zmiany w treści ogłoszenia, które naruszają przepisy prawa?",7293f181
"Jak mogę zgłosić treści, które uważam za bezprawne lub sprzeczne z Regulaminem na OLX?",20bdbe32
"Co powinienem zamieścić w zgłoszeniu nadużycia, aby Grupa OLX mogła je zweryfikować?",20bdbe32
Czy muszę podawać ID Ogłoszenia przy zgłaszaniu naruszenia na OLX?,20bdbe32
Gdzie znajdę opcję 'zgłoś naruszenie' w serwisie OLX?,20bdbe32
Jakie informacje kontaktowe muszę podać przy zgłoszeniu bezprawnych treści w OLX?,20bdbe32
"Co zrobi OLX, jeśli otrzyma informację, że zamieszczona treść jest bezprawna lub narusza regulamin serwisu?",15542325
"Czy OLX zablokuje moje ogłoszenie, jeśli dostanie informację o naruszeniu regulaminu?",15542325
Jakie kroki podejmie OLX po blokadzie ogłoszenia z powodu zgłoszenia nadużycia?,15542325
Czy OLX poinformuje mnie o przyczynie blokady treści na moim koncie i co zawiera taka informacja?,15542325
"Czy zawsze będę poinformowany o blokadzie treści przez OLX, nawet jeśli organ publiczny żąda tajności?",15542325
Czy mogę jako użytkownik biznesowy odwołać się od decyzji o zablokowaniu mojej treści na OLX?,51a23b03
"Jakie kroki muszę podjąć, aby zakwestionować blokadę mojego ogłoszenia na OLX?",51a23b03
"Co się stanie, jeśli mój sprzeciw wobec blokady treści na OLX zostanie uznany za zasadny?",51a23b03
"Czy otrzymam zwrot opłaty za płatne usługi, jeśli moje ogłoszenie zostanie przywrócone po blokadzie na OLX?",51a23b03
"W jaki sposób OLX zwróci mi pieniądze, jeśli mój sprzeciw wobec blokady treści zostanie uznany?",51a23b03
"Co się stanie, jeśli mój sprzeciw zostanie uznany za bezzasadny?",0e8ded0c
"Co się dzieje, jeśli nie złożę sprzeciwu w terminie 7 dni od otrzymania informacji?",0e8ded0c
"Czy zablokowana treść może zostać przywrócona, jeśli sprzeciw nie zostanie uznany?",0e8ded0c
"Jakie są zasady zwrotu opłat za usługi płatne, jeżeli moje ogłoszenie zostanie usunięte?",0e8ded0c
Czy mogę otrzymać zwrot opłat za usunięte ogłoszenie w formie pieniężnej?,0e8ded0c
"Czy OLX może usunąć moje ogłoszenie, jeśli uzna, że stanowi ono zagrożenie dla innych użytkowników?",6a293a6d
"Czy OLX może zablokować moje konto, jeżeli moje ogłoszenie może zagrażać bezpieczeństwu innych osób?",6a293a6d
"Czy OLX ma prawo usunąć moje ogłoszenie, gdy negatywnie wpływa na ich dobre imię?",6a293a6d
"Czy moje konto na OLX może zostać zablokowane, jeśli moje działania szkodzą Grupie OLX?",6a293a6d
"Czy OLX może podjąć działania przeciwko mojemu ogłoszeniu, jeśli uznają, że szkodzi ono ich reputacji?",6a293a6d
"Co się stanie, jeśli poważnie naruszę prawo korzystając z OLX?",368caa05
Jakie działania OLX podejmie w przypadku powtarzających się prób publikowania nielegalnych treści?,368caa05
Czy OLX może zawiesić moje konto za wielokrotne naruszenia regulaminu?,368caa05
Co oznacza zawieszenie konta na OLX i jakie ma to konsekwencje dla użytkownika?,368caa05
Jakie są różnice między zawieszeniem a zablokowaniem konta na OLX?,368caa05
"Co się stanie, jeśli moje konto na OLX zostanie zablokowane lub zawieszone?",d261a76e
"Jak dowiem się, że moje konto na OLX zostało zawieszone?",d261a76e
"Czy zostanę poinformowany, jeśli OLX zablokuje moje ogłoszenie?",d261a76e
Gdzie mogę znaleźć powody blokady mojego konta na OLX?,d261a76e
"Jak mogę złożyć skargę, jeśli nie zgadzam się z blokadą mojego konta na OLX?",d261a76e
Na jakiej podstawie OLX podejmuje decyzje o blokadzie lub zawieszeniu treści lub konta?,653d264c
"Jak OLX identyfikuje treści lub działania użytkowników, które naruszają regulamin?",653d264c
Jakie są główne cele polityk i procedur moderacyjnych OLX?,653d264c
Co OLX bada podczas oceny treści pod kątem naruszenia regulaminu?,653d264c
Dlaczego OLX blokuje lub zawiesza niektóre treści lub konta użytkowników?,653d264c
Jak OLX wykrywa treści lub działania niezgodne z regulaminem?,f1be8bd4
Czy OLX korzysta z narzędzi automatycznych do moderacji treści?,f1be8bd4
W jaki sposób serwis OLX identyfikuje naruszenia regulaminu?,f1be8bd4
Czy OLX używa automatyzowanych systemów do analizy ogłoszeń?,f1be8bd4
Jakie technologie OLX stosuje do monitorowania aktywności użytkowników?,f1be8bd4
Czy wszystkie decyzje związane z naruszeniem Regulaminu na OLX są podejmowane automatycznie czy ręcznie?,74123939
Jak OLX podejmuje decyzje w przypadku naruszenia postanowień Regulaminu lub przepisów prawa?,74123939
"Kto ocenia treści lub działania użytkowników, które mogą naruszać przepisy na OLX?",74123939
"Czy mogę zgłosić inną osobę na OLX, jeśli uważam, że narusza ona Regulamin lub przepisy obowiązującego prawa?",74123939
Jakie organy lub organizacje mogą zgłaszać naruszenia na OLX?,74123939
